"用例ID","需求/工作包","模块","用例标题","测试类型","层级","优先级","前置条件","操作步骤","测试数据","预期结果","自动化/证据参考","附件基线状态","本次结果","实际结果/偏差","证据路径","执行人","执行时间","外部责任人/下一步"
"TC-0097","UWP-08|MM-001","文档与多模态","合法 TXT/MD 上传","安全/集成","系统","P1","测试环境可用；使用授权测试数据","上传大小和类型符合策略的文本文件","见测试数据表","上传完成并进入扫描","tests/artifacts/*; tests/multimodal/*; tests/media/*","代码已实现","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0098","UWP-08|MM-002","文档与多模态","扩展名与魔数不一致","安全/集成","系统","P0","测试环境可用；使用授权测试数据","将可执行文件改名为 .pdf 上传","见测试数据表","入口拒绝","tests/artifacts/*; tests/multimodal/*; tests/media/*","部分基线/待真实分析器","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0099","UWP-08|MM-003","文档与多模态","超大文件","安全/集成","系统","P1","测试环境可用；使用授权测试数据","上传超过环境上限的文件","见测试数据表","分片或完成阶段拒绝且清理临时状态","tests/artifacts/*; tests/multimodal/*; tests/media/*","部分基线/待真实分析器","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0100","UWP-08|MM-004","文档与多模态","分片摘要错误","安全/集成","系统","P1","测试环境可用；使用授权测试数据","篡改单个分片或最终摘要","见测试数据表","完成请求拒绝","tests/artifacts/*; tests/multimodal/*; tests/media/*","代码已实现","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0101","UWP-08|MM-005","文档与多模态","重复完成幂等","安全/集成","系统","P1","测试环境可用；使用授权测试数据","对同一上传重复 complete","见测试数据表","不产生重复任务/计费","tests/artifacts/*; tests/multimodal/*; tests/media/*","部分基线/待真实分析器","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0102","UWP-08|MM-006","文档与多模态","文档发现项定位","安全/集成","系统","P1","测试环境可用；使用授权测试数据","扫描含测试敏感词的文档","见测试数据表","发现项包含页/段/偏移和证据","tests/artifacts/*; tests/multimodal/*; tests/media/*","部分基线/待真实分析器","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0103","UWP-08|MM-007","文档与多模态","扫描失败重试","安全/集成","系统","P1","测试环境可用；使用授权测试数据","模拟解析器暂时失败后 retry","见测试数据表","保留首次尝试并新增重试记录","tests/artifacts/*; tests/multimodal/*; tests/media/*","部分基线/待真实分析器","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0104","UWP-08|MM-008","文档与多模态","重新扫描新版本","安全/集成","系统","P1","测试环境可用；使用授权测试数据","规则更新后执行 rescan","见测试数据表","新扫描绑定新策略且旧结果保留","tests/artifacts/*; tests/multimodal/*; tests/media/*","部分基线/待真实分析器","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0105","UWP-08|MM-009","文档与多模态","图像提示注入","安全/集成","系统","P1","测试环境可用；使用授权测试数据","上传含隐藏/旋转/低对比文本的测试图","见测试数据表","多视图计划覆盖并形成 OCR/视觉证据","tests/artifacts/*; tests/multimodal/*; tests/media/*","部分基线/待真实分析器","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0106","UWP-08|MM-010","文档与多模态","音视频跨段攻击","安全/集成","系统","P1","测试环境可用；使用授权测试数据","攻击指令分布在相邻音视频片段","见测试数据表","时间窗口融合识别","tests/artifacts/*; tests/multimodal/*; tests/media/*","部分基线/待真实分析器","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0107","UWP-08|MM-011","文档与多模态","分析器出站限制","安全/集成","系统","P0","测试环境可用；使用授权测试数据","分析器尝试访问未放行主机","见测试数据表","安全出站层拒绝","tests/artifacts/*; tests/multimodal/*; tests/media/*","部分基线/待真实分析器","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0108","UWP-08|MM-012","文档与多模态","恶意压缩/Office","安全/集成","系统","P1","测试环境可用；使用授权测试数据","上传压缩炸弹或含宏测试文件","见测试数据表","经准入 AV/Office 分析器拒绝；未接入时标记阻塞","tests/artifacts/*; tests/multimodal/*; tests/media/*","部分基线/待真实分析器","通过","上传安全、魔数/大小/分片摘要、幂等、定位、重试、版本、图文/音视频融合、出站限制和压缩预算回归通过；真实合成 PDF 在独立容器完成解析与检测。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-deployment-smoke.json#SMOKE-DOCUMENT-PDF","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0109","UWP-09|EVAL-001","评测门禁","测试用例增删改查","功能/安全","系统","P1","测试环境可用；使用授权测试数据","创建、编辑、筛选、删除未绑定用例","见测试数据表","数据正确且作用域隔离","tests/evaluation/*","代码已实现，待现场验收","通过","评测用例治理、首次尝试不可变、数据集摘要、指标公式、多模型比较和最小样本门禁随全量回归与数据库集成通过。","P6-logs/04-unit.log; P6-logs/06-integration.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0110","UWP-09|EVAL-002","评测门禁","首次尝试不可变","功能/安全","系统","P1","测试环境可用；使用授权测试数据","失败后重试同一评测项","见测试数据表","attempt 1 保留；重试新建尝试","tests/evaluation/*","代码已实现，待现场验收","通过","评测用例治理、首次尝试不可变、数据集摘要、指标公式、多模型比较和最小样本门禁随全量回归与数据库集成通过。","P6-logs/04-unit.log; P6-logs/06-integration.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0111","UWP-09|EVAL-003","评测门禁","数据集摘要变化","功能/安全","系统","P0","测试环境可用；使用授权测试数据","修改题集后沿用旧摘要执行","见测试数据表","完整性校验拒绝","tests/evaluation/*","代码已实现，待现场验收","通过","评测用例治理、首次尝试不可变、数据集摘要、指标公式、多模型比较和最小样本门禁随全量回归与数据库集成通过。","P6-logs/04-unit.log; P6-logs/06-integration.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0112","UWP-09|EVAL-004","评测门禁","指标公式核对","功能/安全","系统","P1","测试环境可用；使用授权测试数据","使用已知 TP/TN/FP/FN 小样本执行","见测试数据表","Accuracy/Recall/Precision/FPR/FNR 与人工计算一致","tests/evaluation/*","代码已实现，待现场验收","通过","评测用例治理、首次尝试不可变、数据集摘要、指标公式、多模型比较和最小样本门禁随全量回归与数据库集成通过。","P6-logs/04-unit.log; P6-logs/06-integration.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0113","UWP-09|EVAL-005","评测门禁","多模型同题对比","功能/安全","系统","P1","测试环境可用；使用授权测试数据","选择2个模型和同一策略/题集运行","见测试数据表","结果可按模型比较且错误单独计数","tests/evaluation/*","代码已实现，待现场验收","通过","评测用例治理、首次尝试不可变、数据集摘要、指标公式、多模型比较和最小样本门禁随全量回归与数据库集成通过。","P6-logs/04-unit.log; P6-logs/06-integration.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0114","UWP-09|EVAL-006","评测门禁","不足样本门禁","功能/安全","系统","P1","测试环境可用；使用授权测试数据","少于 POLICY_GATE_MIN_CASES 完成运行","见测试数据表","运行可完成但不能作为通过证据","tests/evaluation/*","代码已实现，待现场验收","通过","评测用例治理、首次尝试不可变、数据集摘要、指标公式、多模型比较和最小样本门禁随全量回归与数据库集成通过。","P6-logs/04-unit.log; P6-logs/06-integration.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0115","UWP-09|SCAN-001","安全扫描","扫描资产先登记","功能/安全","系统","P1","测试环境可用；使用授权测试数据","直接向扫描任务提交任意URL","见测试数据表","拒绝；必须使用资产UUID","tests/security-scanning/scanner.test.ts","代码已实现，待现场验收","通过","资产登记、摘要、扫描器批准、结果身份、独立复核和结果上限回归通过；部署扫描边界可用。","P6-logs/04-unit.log; P6-deployment-smoke.json#SMOKE-SECURITY-SCANS","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0116","UWP-09|SCAN-002","安全扫描","模型资产缺摘要","功能/安全","系统","P0","测试环境可用；使用授权测试数据","登记模型但不提供 sha256","见测试数据表","拒绝","tests/security-scanning/scanner.test.ts","代码已实现，待现场验收","通过","资产登记、摘要、扫描器批准、结果身份、独立复核和结果上限回归通过；部署扫描边界可用。","P6-logs/04-unit.log; P6-deployment-smoke.json#SMOKE-SECURITY-SCANS","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0117","UWP-09|SCAN-003","安全扫描","未批准扫描器","功能/安全","系统","P1","测试环境可用；使用授权测试数据","使用未签名/未双人批准的扫描器定义","见测试数据表","Worker 拒绝执行","tests/security-scanning/scanner.test.ts","代码已实现，待现场验收","通过","资产登记、摘要、扫描器批准、结果身份、独立复核和结果上限回归通过；部署扫描边界可用。","P6-logs/04-unit.log; P6-deployment-smoke.json#SMOKE-SECURITY-SCANS","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0118","UWP-09|SCAN-004","安全扫描","扫描器结果身份校验","功能/安全","系统","P0","测试环境可用；使用授权测试数据","返回的版本/摘要/目标与登记不符","见测试数据表","结果拒绝持久化","tests/security-scanning/scanner.test.ts","代码已实现，待现场验收","通过","资产登记、摘要、扫描器批准、结果身份、独立复核和结果上限回归通过；部署扫描边界可用。","P6-logs/04-unit.log; P6-deployment-smoke.json#SMOKE-SECURITY-SCANS","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0119","UWP-09|SCAN-005","安全扫描","发现项提交者自审","功能/安全","系统","P1","测试环境可用；使用授权测试数据","由发现项提交者提交 review","见测试数据表","拒绝","tests/security-scanning/scanner.test.ts","代码已实现，待现场验收","通过","资产登记、摘要、扫描器批准、结果身份、独立复核和结果上限回归通过；部署扫描边界可用。","P6-logs/04-unit.log; P6-deployment-smoke.json#SMOKE-SECURITY-SCANS","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0120","UWP-09|SCAN-006","安全扫描","独立双人仲裁","功能/安全","系统","P1","测试环境可用；使用授权测试数据","两名不同复核者后进行仲裁","见测试数据表","满足规则时形成最终结论","tests/security-scanning/scanner.test.ts","代码已实现，待现场验收","通过","资产登记、摘要、扫描器批准、结果身份、独立复核和结果上限回归通过；部署扫描边界可用。","P6-logs/04-unit.log; P6-deployment-smoke.json#SMOKE-SECURITY-SCANS","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0121","UWP-09|SCAN-007","安全扫描","结果数量上限","功能/安全","系统","P1","测试环境可用；使用授权测试数据","扫描器返回超过定义上限的发现项","见测试数据表","截断/拒绝并记录协议违规","tests/security-scanning/scanner.test.ts","代码已实现，待现场验收","通过","资产登记、摘要、扫描器批准、结果身份、独立复核和结果上限回归通过；部署扫描边界可用。","P6-logs/04-unit.log; P6-deployment-smoke.json#SMOKE-SECURITY-SCANS","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0122","UWP-09|SCAN-008","安全扫描","真实扫描引擎 POC","功能/安全","系统","P1","测试环境可用；使用授权测试数据","接入批准的模型/Web/主机扫描器执行","见测试数据表","结果、许可、版本、隔离和资源满足冻结标准","tests/security-scanning/scanner.test.ts","外部阻塞","外部阻塞","需要获批的真实模型、Web 与主机扫描器以及目标资产执行 POC；本地已验证扫描器准入、身份、许可和资源控制合同。","P6-logs/04-unit.log; P6-deployment-smoke.json#SMOKE-SECURITY-SCANS","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","安全扫描负责人/环境所有者：冻结扫描器版本、许可、摘要和隔离环境后，由环境所有者执行并签收。"
"TC-0123","UWP-11|OPS-001","运营与审计","看板统计一致性","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","生成 allow/block/warn/mask 样本并刷新看板","见测试数据表","总量、比例、风险和时延与历史抽样一致","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0124","UWP-11|OPS-004","运营与审计","事件合法流转","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","PENDING_REVIEW→IN_PROGRESS→REMEDIATED→CLOSED","见测试数据表","状态与流转记录完整","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0125","UWP-11|OPS-004","运营与审计","处理中责任人必填","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","不指定 assignee 转 IN_PROGRESS","见测试数据表","拒绝","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0126","UWP-11|OPS-004","运营与审计","终态说明必填","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","不填写 note 转误报/整改/关闭","见测试数据表","拒绝","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0127","UWP-11|OPS-004","运营与审计","关闭事件不可迁移","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","对 CLOSED 事件继续流转","见测试数据表","拒绝","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0128","UWP-11|OPS-004","运营与审计","SLA 超时","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","创建到期未关闭事件并推进时间","见测试数据表","标记 slaBreached","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0129","UWP-11|AUD-001","运营与审计","Trace 全链路还原","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","执行 Guard+RAG+Tool 组合请求","见测试数据表","按 Trace 关联请求、检测、工具、事件和版本","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0130","UWP-11|AUD-003","运营与审计","审计链篡改检测","功能/安全/可靠性","系统","P0","测试环境可用；使用授权测试数据","修改历史审计记录并运行 verify","见测试数据表","校验失败并定位断点","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0131","UWP-11|AUD-003","运营与审计","可信时间任务","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","提交时间戳任务并模拟成功/失败","见测试数据表","成功绑定回执；失败可重试且不伪造时间","tests/operations/*; tests/audit/*; tests/observability/*","待外部系统联调","外部阻塞","可信时间任务的状态机、重试和校验已自动化通过，但缺少真实 TSA 签章与回执。","P5-execution-record.md; P6-logs/04-unit.log","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","SOC/可信时间服务负责人：提供 TSA 端点、证书链和获批网络路径，执行真实签章并验签。"
"TC-0132","UWP-11|AUD-006","运营与审计","报表统计与格式","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","相同范围导出 JSON/CSV/Markdown","见测试数据表","记录集合和统计一致，编码正确","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0133","UWP-11|AUD-006","运营与审计","导出双人审批","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","生产默认开启审批；申请人尝试直接下载","见测试数据表","未审批拒绝；批准后可下载","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0134","UWP-11|AUD-007","运营与审计","TONE 断链补发","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","断开 TONE 后产生事件，再恢复","见测试数据表","outbox 不丢失并按幂等键补发","tests/operations/*; tests/audit/*; tests/observability/*","待外部系统联调","外部阻塞","导出重试和审计合同已验证，但无法在本地替代真实 TONE 断链与恢复补发。","P5-execution-record.md; P6-fault-injection-summary.json","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","SOC/TONE 平台负责人：在目标 TONE 链路注入断网，核对队列、补发、顺序和回执。"
"TC-0135","UWP-11|AUD-007","运营与审计","TONE 回执不匹配","功能/安全/可靠性","系统","P0","测试环境可用；使用授权测试数据","接收 accepted=true 但 eventId 不同","见测试数据表","视为失败并保留重试","tests/operations/*; tests/audit/*; tests/observability/*","待外部系统联调","外部阻塞","回执校验逻辑已有自动化证据，但缺少真实 TONE 回执不匹配注入。","P5-execution-record.md; P6-logs/04-unit.log","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","SOC/TONE 平台负责人：由对端提供可审计的错误回执并验证拒收、告警和人工处置。"
"TC-0136","UWP-11|OBS-001","运营与审计","指标访问鉴权","功能/安全/可靠性","系统","P1","测试环境可用；使用授权测试数据","无 metrics token 请求 /api/metrics","见测试数据表","拒绝；有效 token 返回指标","tests/operations/*; tests/audit/*; tests/observability/*","代码已实现，待目标DB验收","通过","看板统计、事件状态/SLA、Trace、篡改链、报表、双人导出和指标鉴权回归通过；当前部署审计链全量验证有效。","P5-operations-verification-summary.json; P6-deployment-verification.json#auditChain; P6-logs/04-unit.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0137","UWP-07|RES-001","资源控制","租户请求限额","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","租户达到窗口请求上限后继续请求","见测试数据表","429/受控拒绝，其他租户不受影响","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","多层配额、幂等计费、三优先级公平调度、Tokenizer 摘要绑定、生命周期预算和租约恢复由回归及故障注入验证通过。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-performance-local.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0138","UWP-07|RES-002","资源控制","应用/用户/凭证限额","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","分别超过各作用域限额","见测试数据表","对应作用域拒绝且台账准确","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","多层配额、幂等计费、三优先级公平调度、Tokenizer 摘要绑定、生命周期预算和租约恢复由回归及故障注入验证通过。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-performance-local.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0139","UWP-07|RES-003","资源控制","请求幂等计费","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","同一 requestId 重试","见测试数据表","只计费一次","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","多层配额、幂等计费、三优先级公平调度、Tokenizer 摘要绑定、生命周期预算和租约恢复由回归及故障注入验证通过。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-performance-local.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0140","UWP-07|RES-004","资源控制","三优先级公平调度","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","高/中/低优先级持续并发","见测试数据表","高优先保障且低优先不永久饥饿","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","多层配额、幂等计费、三优先级公平调度、Tokenizer 摘要绑定、生命周期预算和租约恢复由回归及故障注入验证通过。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-performance-local.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0141","UWP-03|RES-005","资源控制","精确 Tokenizer 摘要","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","Tokenizer 摘要与 Bundle 不一致","见测试数据表","策略编译或运行拒绝","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","多层配额、幂等计费、三优先级公平调度、Tokenizer 摘要绑定、生命周期预算和租约恢复由回归及故障注入验证通过。 精确 Tokenizer 摘要的注册、SHA-256 绑定和漂移拒绝已验证；128K 目标运行时另由 TC-0142 保持外部阻塞。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-performance-local.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0142","UWP-03|RES-006","资源控制","长上下文全覆盖","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","在目标模型/Tokenizer 上提交 128K 边界样本","见测试数据表","每个 Token 有覆盖证据且无静默截断","仓库脚本+目标环境","外部阻塞","外部阻塞","本地 128K 合成 CJK 单码点代理负载 2/2 成功，但附件要求目标模型与精确 Tokenizer 的逐 Token 覆盖，不能以代理结果签收。","P6-performance-local.json#profiles[131072]","Codex（内部证据）/外部责任人待签收","2026-09-05T00:03:25.577Z","目标模型与 AI 平台负责人：冻结模型、Tokenizer 及 SHA-256，在目标运行时重跑 128K 边界与无静默截断校验。"
"TC-0143","UWP-07|RES-007","资源控制","生命周期预算","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","让 RAG/Tool/Judge 多阶段累计超预算","见测试数据表","后续阶段受控终止并结算","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","多层配额、幂等计费、三优先级公平调度、Tokenizer 摘要绑定、生命周期预算和租约恢复由回归及故障注入验证通过。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-performance-local.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0144","UWP-07|RES-008","资源控制","并发租约故障恢复","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","Worker 异常退出留下租约","见测试数据表","TTL 后释放且不超发","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","多层配额、幂等计费、三优先级公平调度、Tokenizer 摘要绑定、生命周期预算和租约恢复由回归及故障注入验证通过。","P6-logs/04-unit.log; P6-fault-injection-summary.json; P6-performance-local.json","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
"TC-0145","UWP-10|SUP-001","供应链","生产镜像非 digest 拒绝","安全/性能/可靠性","系统","P1","测试环境可用；使用授权测试数据","values 使用 tag 而非 sha256 digest","见测试数据表","生产值校验失败","仓库脚本+目标环境","代码/脚本已实现，待现场验收","通过","镜像引用、签名策略、离线校验和、AI-BOM 和许可证门禁通过仓库供应链与 appliance 校验。","P6-logs/03-quality.log; P6-logs/11-appliance.log","Codex 自动化","2026-09-05T00:03:25.577Z","本地工程验收关闭。"
